pilot_id,url,severity,code,expected,actual,note
S01,/location/chimney-sweep-repair-in-bloomington-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Chimney Sweep in Bloomington,MN",
S01,/location/chimney-sweep-repair-in-bloomington-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S01,/location/chimney-sweep-repair-in-bloomington-mn/,CRITICAL,structured_data_missing,>=1 block,0,
S02,/location/chimney-sweep-repair-in-chanhassen-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Chimney Sweep in Chanhassen,MN",
S02,/location/chimney-sweep-repair-in-chanhassen-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S02,/location/chimney-sweep-repair-in-chanhassen-mn/,CRITICAL,structured_data_missing,>=1 block,0,
S03,/location/gas-fireplace-repair-in-shakopee-mn/,CRITICAL,wrong_template,ServicePage,CityPage,
S03,/location/gas-fireplace-repair-in-shakopee-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Gas Fireplace Repair in Shakopee,MN",
S03,/location/gas-fireplace-repair-in-shakopee-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S03,/location/gas-fireplace-repair-in-shakopee-mn/,CRITICAL,structured_data_missing,>=1 block,0,
S04,/location/chimney-sweep-in-white-bear-lake-mn/,CRITICAL,wrong_template,ServicePage,CityPage,
S04,/location/chimney-sweep-in-white-bear-lake-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Chimney Sweep in White Bear Lake,MN",
S04,/location/chimney-sweep-in-white-bear-lake-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S04,/location/chimney-sweep-in-white-bear-lake-mn/,CRITICAL,structured_data_missing,>=1 block,0,
S05,/locations/mn/,REVIEW,status_differs,production 404,local 200,
S05,/locations/mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),Chimcare Locations in Minnesota | Chimney Sweep & Repair,
S05,/locations/mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),Chimcare serves Minnesota homeowners through 14 branch points across the Twin Cities metro. Find your local Minnesota Chimcare crew.,specification §18 item 10: the fallback description is still open.
S06,/locations/,REVIEW,title_not_traceable_to_source,Chimney Service Locations | Chimney Company Near Me | Chimcare,"Chimcare Service Locations | Chimney Sweep, Repair & Masonry",
S06,/locations/,REVIEW,description_not_verbatim_from_source,"Get the address and contact information for each of Chimcare's chimney service locations in Washington, Oregon, and Ohio. Click on a city near you!","Find your local Chimcare chimney sweep, repair and masonry crew. Serving homeowners in 1 states.",
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,REVIEW,legacy_url_404s_on_the_production_route,rendered via the admin source preview,/location/ route returns 200,Expected in this phase. Connecting LegacyPage to the dispatcher is ISSUE-006 and a separate decision.
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,REVIEW,final_url_differs,/location/gas-fireplace-repair-service-in-plymouth-mn/,/admin/preview/legacy/S07/,
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,REVIEW,canonical_and_robots_untestable_for_legacy,"self-canonical, indexable","preview route: (none) / noindex, nofollow",The preview is deliberately noindex with no canonical. Both become testable when LegacyPage is routed — ISSUE-006.
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),Legacy source preview,
S07,/location/gas-fireplace-repair-service-in-plymouth-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S08,/location/gas-fireplace-service-in-blaine-mn/,REVIEW,legacy_url_404s_on_the_production_route,rendered via the admin source preview,/location/ route returns 200,Expected in this phase. Connecting LegacyPage to the dispatcher is ISSUE-006 and a separate decision.
S08,/location/gas-fireplace-service-in-blaine-mn/,REVIEW,final_url_differs,/location/gas-fireplace-service-in-blaine-mn/,/admin/preview/legacy/S08/,
S08,/location/gas-fireplace-service-in-blaine-mn/,REVIEW,canonical_and_robots_untestable_for_legacy,"self-canonical, indexable","preview route: (none) / noindex, nofollow",The preview is deliberately noindex with no canonical. Both become testable when LegacyPage is routed — ISSUE-006.
S08,/location/gas-fireplace-service-in-blaine-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),Legacy source preview,
S08,/location/gas-fireplace-service-in-blaine-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),,specification §18 item 10: the fallback description is still open.
S09,/location/chimney-sweep-fireplace-in-minneapolis-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Chimney Sweep & Fireplace Services in Minneapolis, MN",
S09,/location/chimney-sweep-fireplace-in-minneapolis-mn/,CRITICAL,structured_data_missing,>=1 block,0,
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,REVIEW,redirect_status_differs,301,308,Known: the app emits 308 where production emits 301. ISSUE-007; the edge answers the exact status at cutover.
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,REVIEW,title_not_traceable_to_source,(WordPress has none),"Chimney Sweep & Fireplace Services in St. Paul, MN",
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,REVIEW,description_not_verbatim_from_source,(WordPress has none),"Saint Paul, MN Chimney Sweep: Expert chimney cleaning, inspections, and repairs to keep your home safe and efficient. Trust our professionals for top-quality service. Book now!",specification §18 item 10: the fallback description is still open.
S10,/location/chimney-sweep-fireplace-services-in-saint-paul-mn/,CRITICAL,structured_data_missing,>=1 block,0,
